Class,Total,Train,Validation,Test,Precision,Recall,F1-Score
Daihatsu_Coure,145,106,18,21,1.0000,1.0000,1.0000
Daihatsu_Hijet,95,64,18,13,1.0000,1.0000,1.0000
Daihatsu_Mira,150,98,35,17,1.0000,1.0000,1.0000
FAW_V2,80,57,14,9,1.0000,1.0000,1.0000
FAW_XPV,77,57,11,9,1.0000,1.0000,1.0000
Hiace_1990-2003,84,60,17,7,1.0000,1.0000,1.0000
Honda_BRV,80,62,8,10,1.0000,1.0000,1.0000
Honda_City_aspire,183,132,23,28,0.9643,0.9643,0.9643
Honda_Grace,93,63,19,11,0.9091,0.9091,0.9091
Honda_Vezel,147,106,25,16,1.0000,0.9412,0.9697
Honda_city_1998-2002,74,55,13,6,1.0000,1.0000,1.0000
Honda_city_2003-2008,138,99,21,18,1.0000,1.0000,1.0000
Honda_civic_1992-1995,86,57,15,14,0.9286,1.0000,0.9630
Honda_civic_2004-2005,87,60,16,11,1.0000,1.0000,1.0000
Honda_civic_2007-2010,125,88,20,17,1.0000,1.0000,1.0000
Honda_civic_2011-2015,87,58,16,13,1.0000,1.0000,1.0000
Honda_civic_2016-2021,147,101,20,26,1.0000,1.0000,1.0000
KIA_Sportage,99,72,16,11,1.0000,1.0000,1.0000
Suzuki_Every,82,58,15,9,1.0000,1.0000,1.0000
Suzuki_Mehran,278,185,45,48,1.0000,1.0000,1.0000
Suzuki_alto_2007,211,140,40,31,1.0000,1.0000,1.0000
Suzuki_alto_2019,119,84,20,15,1.0000,0.9375,0.9677
Suzuki_alto_japan_2010,100,68,17,15,0.9333,1.0000,0.9655
Suzuki_carry,82,68,9,5,1.0000,1.0000,1.0000
Suzuki_cultus_2018,448,314,71,63,1.0000,0.9844,0.9921
Suzuki_cultus_2019,159,110,19,30,0.9667,1.0000,0.9831
Suzuki_highroof,164,122,23,19,0.9474,1.0000,0.9730
Suzuki_khyber,74,54,9,11,1.0000,1.0000,1.0000
Suzuki_liana,87,60,15,12,1.0000,1.0000,1.0000
Suzuki_margalla,83,53,20,10,1.0000,1.0000,1.0000
Suzuki_swift,193,133,37,23,1.0000,1.0000,1.0000
Suzuki_wagonR_2015,169,116,27,26,1.0000,1.0000,1.0000
Toyota_Aqua,177,124,23,30,1.0000,1.0000,1.0000
Toyota_Hiace_2012,148,104,20,24,1.0000,1.0000,1.0000
Toyota_Landcruiser,100,74,13,13,1.0000,0.8667,0.9286
Toyota_Passo,115,84,21,10,1.0000,0.9091,0.9524
Toyota_Prado,80,61,11,8,1.0000,1.0000,1.0000
Toyota_Vigo,105,77,14,14,1.0000,0.9333,0.9655
Toyota_Vitz,132,88,23,21,1.0000,1.0000,1.0000
Toyota_Vitz_2010,94,65,15,14,1.0000,1.0000,1.0000
Toyota_axio,84,59,15,10,0.9000,1.0000,0.9474
Toyota_corolla_2000,68,42,10,16,1.0000,1.0000,1.0000
Toyota_corolla_2007,137,89,23,25,1.0000,0.9615,0.9804
Toyota_corolla_2011,196,140,27,29,1.0000,1.0000,1.0000
Toyota_corolla_2016,367,253,57,57,1.0000,0.9828,0.9913
Toyota_fortuner,91,66,11,14,1.0000,1.0000,1.0000
Toyota_pirus,87,59,15,13,1.0000,1.0000,1.0000
Toyota_premio,80,58,13,9,0.7778,1.0000,0.8750
Unknown,276,193,48,35,0.8857,0.9394,0.9118
